time,m_RMS,m_torq,m_vel,press,temp0,temp1,temp2,temp3,temp4,temp5
00:00:08,0.000,0.00,0,-02.31,069.01,070.68,069.86,068.78,069.36,071.01
00:00:18,0.000,0.00,0,-02.32,068.78,070.82,069.87,068.84,069.56,071.04
00:00:28,0.000,0.00,0,-02.29,069.00,070.73,069.92,068.79,069.40,071.13
00:00:38,0.000,0.00,0,-02.26,068.88,070.69,070.08,068.55,069.57,071.00
00:00:48,0.000,0.00,0,-02.27,068.83,070.60,070.10,068.86,069.46,071.06
00:00:59,0.000,0.00,0,-02.22,068.83,070.63,070.07,068.66,069.55,070.92
00:01:08,0.000,0.00,0,-02.26,068.71,070.63,069.86,068.80,069.55,071.02
00:01:18,0.000,0.00,0,-02.24,068.94,070.59,070.03,068.82,069.34,070.92
00:01:28,0.000,0.00,0,-02.20,068.82,070.63,069.85,069.12,069.29,070.99
00:01:38,0.000,0.00,0,-02.22,068.77,070.72,069.77,068.89,069.45,071.06
00:01:48,0.000,0.00,0,-02.17,068.80,070.77,069.98,068.74,069.26,070.95
00:01:58,0.000,0.00,0,-02.19,068.63,070.69,069.89,068.98,069.51,071.07
00:02:09,0.000,0.00,0,-02.22,068.66,070.64,069.96,068.76,069.40,071.03
00:02:18,0.000,0.00,0,-02.21,068.90,070.63,069.92,068.91,069.56,070.95
00:02:29,0.000,0.00,0,-02.20,068.74,070.73,069.92,068.98,069.32,070.99
00:02:39,0.000,0.00,0,-02.28,068.96,070.87,069.98,068.82,069.57,070.96
00:02:48,0.000,0.00,0,-02.24,068.65,070.77,069.99,068.88,069.39,070.93
00:02:58,0.000,0.00,0,-02.28,068.84,070.70,069.71,068.63,069.39,071.10
00:03:08,0.000,0.00,0,-02.22,068.95,070.74,069.79,068.61,069.34,071.00
00:03:19,0.000,0.00,0,-02.21,068.92,070.69,069.99,068.64,069.33,071.01
00:03:28,0.000,0.00,0,-02.27,069.02,070.63,070.10,068.88,069.33,070.99
00:03:38,0.000,0.00,0,-02.19,068.89,070.59,069.88,068.80,069.51,070.90
00:03:49,0.000,0.00,0,-02.22,068.81,070.63,069.91,068.79,069.27,070.98
00:03:59,0.000,0.00,0,-02.25,068.90,070.65,069.85,069.04,069.39,070.99
00:04:09,0.000,0.00,0,-02.25,068.70,070.70,069.94,068.83,069.28,071.00
00:04:19,0.000,0.00,0,-02.26,068.68,070.75,069.71,068.80,069.23,070.99
00:04:29,0.000,0.00,0,-02.22,068.78,070.79,069.97,068.95,069.30,070.91
00:04:38,0.000,0.00,0,-02.26,068.91,070.83,069.62,068.85,069.36,070.99
00:04:48,0.000,0.00,0,-02.21,068.95,070.73,069.77,068.81,069.23,071.01
00:04:59,0.000,0.00,0,-02.20,069.01,070.64,069.77,068.98,069.30,070.93
00:05:09,0.000,0.00,0,-02.21,068.93,070.62,069.76,069.07,069.35,071.08
00:05:18,0.000,0.00,0,-02.21,068.87,070.73,070.19,069.03,069.29,071.08
00:05:29,0.000,0.00,0,-02.19,068.92,070.72,069.86,069.04,069.35,070.91
00:05:39,0.000,0.00,0,-02.26,068.97,070.56,069.87,068.73,069.31,070.90
00:05:49,0.000,0.00,0,-02.21,068.73,070.68,069.87,068.82,069.24,070.90
00:05:59,0.000,0.00,0,-02.25,068.71,070.67,070.02,068.88,069.29,070.94
00:06:09,0.000,0.00,0,-02.27,068.78,070.67,069.90,068.70,069.35,071.02
00:06:19,0.000,0.00,0,-02.24,068.87,070.74,069.95,068.87,069.24,070.90
00:06:28,0.000,0.00,0,-02.28,068.72,070.62,069.86,068.94,069.24,070.96
00:06:39,0.000,0.00,0,-02.23,068.94,070.72,069.84,068.90,069.30,070.92
00:06:49,0.000,0.00,0,-02.19,068.95,070.60,069.62,068.76,069.23,070.95
00:06:59,0.000,0.00,0,-02.24,068.84,070.53,069.88,068.87,069.26,071.06
00:07:09,0.000,0.00,0,-02.21,068.81,070.65,069.52,068.87,069.18,071.02
00:07:19,0.000,0.00,0,-02.26,068.72,070.63,069.49,068.81,069.27,070.95
00:07:29,0.000,0.00,0,-02.27,068.68,070.70,069.57,068.84,069.31,070.89
00:07:39,0.000,0.00,0,-02.21,068.93,070.72,069.76,068.93,069.37,070.95
00:07:49,0.000,0.00,0,-02.25,068.74,070.73,069.70,068.88,069.46,070.88
00:07:59,0.000,0.00,0,-02.28,069.06,070.60,069.86,068.83,069.42,070.94
00:08:08,0.000,0.00,0,-02.26,069.07,070.63,069.73,068.81,069.37,071.00
00:08:19,0.000,0.00,0,-02.26,068.93,070.61,069.69,069.15,069.34,070.91
00:08:29,0.000,0.00,0,-02.22,068.88,070.59,069.79,069.06,069.24,070.97
00:08:39,0.000,0.00,0,-02.21,068.75,070.69,069.75,069.09,069.45,070.95
00:08:49,0.000,0.00,0,-02.22,068.79,070.61,069.85,068.72,069.33,071.02
00:08:59,0.000,0.00,0,-02.20,068.72,070.72,069.46,068.82,069.18,070.97
00:09:09,0.000,0.00,0,-02.20,068.75,070.77,069.69,068.86,069.37,070.89
00:09:19,0.000,0.00,0,-02.25,068.95,070.76,069.61,069.05,069.19,070.98
00:09:29,0.000,0.00,0,-02.23,068.85,070.67,069.63,068.73,069.52,070.93
00:09:39,0.000,0.00,0,-02.25,068.73,070.71,069.94,069.10,069.23,070.91
00:09:49,0.000,0.00,0,-02.25,068.73,070.64,069.68,068.86,069.23,071.03
00:09:59,0.000,0.00,0,-02.25,068.73,070.66,069.78,069.20,069.40,070.80
00:10:09,0.000,0.00,0,-02.26,068.87,070.68,069.68,069.13,069.34,070.87
00:10:19,0.000,0.00,0,-02.21,068.80,070.55,069.92,068.87,069.29,070.95
00:10:30,0.000,0.00,0,-02.21,068.74,070.55,069.83,068.98,069.37,071.05
00:10:39,0.000,0.00,0,-02.20,068.81,070.61,069.84,068.70,069.28,071.04
00:10:50,0.000,0.00,0,-02.21,068.65,070.59,069.62,068.91,069.37,070.99
00:10:59,0.000,0.00,0,-02.24,068.58,070.72,069.90,068.74,069.30,070.95
00:11:09,0.000,0.00,0,-02.21,068.84,070.62,069.72,068.69,069.26,070.94
00:11:19,0.000,0.00,0,-02.27,068.80,070.67,069.84,068.99,069.34,070.95
